Year,Month,Day,Fault Code,Duration
2018,09,07,E15,5400
2018,09,11,E15,1800
2018,09,12,E15,50
2018,09,12,E55,120
2018,09,13,E15,1800
2018,09,14,E15,1810
2018,09,15,E15,900
2018,09,17,E15,900
2018,09,18,E15,2710
2018,09,20,E15,3390
2018,09,20,E55,230
2018,09,21,E15,900
2018,09,22,E15,1800
2018,09,26,E15,1800
2018,09,27,E15,1800
2018,09,30,E15,2700
2018,10,05,E15,900
2018,10,08,E15,900
2018,10,09,E15,900
2018,10,10,E15,1790
2018,10,12,E15,900
2018,11,24,E59,120
2018,12,30,E59,120
2019,02,20,E45,20
2019,02,20,E55,480
2019,03,14,E59,120
2019,05,08,E55,360
2019,05,09,E55,960
2019,05,11,E55,950
2019,05,12,E55,120
2019,05,15,E55,720
2019,05,16,E55,480
2019,05,17,E55,120
2019,05,18,E55,950
2019,05,19,E55,820
2019,05,21,E55,1560
2019,05,22,E55,1080
2019,05,23,E55,600
2019,05,24,E55,1430
2019,05,25,E55,1200
2019,05,26,E55,1200
2019,05,27,E55,200
2019,05,28,E55,1800
2019,05,29,E55,1900
2019,05,30,E55,2360
2019,05,31,E55,1080
2019,06,13,E55,360
2019,06,16,E55,730
2019,06,17,E55,1080
2019,06,18,E55,1190
2019,06,19,E55,480
2019,06,20,E55,1330
2019,06,21,E55,2280
2019,06,22,E55,2520
2019,06,23,E55,1330
2019,06,24,E55,600
2019,06,25,E55,480
2019,06,26,E55,720
2019,06,27,E55,360
2019,06,28,E55,240
2019,06,29,E55,120
2019,06,30,E55,360
2019,07,01,E55,480
2019,07,02,E55,720
2019,07,03,E55,120
2019,07,04,E55,120
2019,07,07,E55,120
2019,07,08,E55,600
2019,07,09,E55,480
2019,07,11,E55,80
2019,07,12,E55,120
2019,07,15,E55,120
2019,07,16,E55,120
2019,07,19,E55,240
2019,07,24,E55,360
2019,07,25,E55,240
2019,07,27,E55,240
2019,08,03,E55,120
2019,08,06,E55,120
2019,08,14,E55,120
2019,08,15,E55,360
2019,08,22,E55,120
2019,08,24,E55,110
2019,08,26,E55,840
2019,08,27,E55,960
2019,08,29,E55,240
2019,08,30,E55,240
2019,08,31,E55,240
2019,09,01,E55,120
2019,09,02,E55,480
2019,09,03,E55,360
2019,09,04,E55,240
2019,09,05,E55,360
2019,09,06,E55,120
2019,09,07,E55,960
2019,09,08,E55,720
2019,09,09,E55,960
2019,09,10,E55,240
2019,09,11,E55,360
2019,09,13,E55,1190
2019,09,14,E55,1200
2019,09,15,E55,840
2019,09,16,E55,360
2019,09,17,E55,1320
2019,09,18,E55,360
2019,09,19,E55,1440
2019,09,20,E55,1800
2019,09,21,E55,960
2019,09,22,E55,480
2019,09,23,E55,240
2019,09,24,E55,120
2019,09,26,E55,580
2019,09,27,E55,1080
2019,09,28,E55,830
2019,09,29,E55,240
2019,09,30,E55,360
2019,10,01,E55,480
2019,10,02,E55,120
2019,10,03,E55,600
2019,10,04,E55,480
2019,10,05,E55,360
